concept_id,canonical,dimension,role_modes
vehicles_work_object,vehicles,work_object,technical
vending_task,vending,task,
veneer_work_object,veneer,work_object,
veneer_slicer_work_object,veneer slicer,work_object,technical
ventilation_task,ventilation,task,
venue_knowledge_domain,venue,knowledge_domain,creative
vessel_knowledge_domain,vessel,knowledge_domain,education
vessel_product,vessel,product,commercial
vessel_work_object,vessel,work_object,technical
veterinary,veterinary,industry,
victim_task,victim,task,
video_knowledge_domain,video,knowledge_domain,creative|knowledge
video_knowledge_domain,video,knowledge_domain,knowledge
video_product,video,product,commercial
video_work_object,video,work_object,technical
vineyard,vineyard,venue,
violence_industry,violence,industry,
violin_work_object,violin,work_object,
vision_task,vision,task,
visitor_industry,visitor,industry,
visual,visual,knowledge_domain,
viticulture_work_object,viticulture,work_object,
vocational,vocational,industry,
voice_over_knowledge_domain,voice over,knowledge_domain,creative
volunteer_work_object,volunteer,work_object,
volunteering_task,volunteering,task,
waiting_task,waiting,task,
wall_product,wall,product,commercial
warehouse,warehouse,venue,
warfare_knowledge_domain,warfare,knowledge_domain,knowledge
wash_work_object,wash,work_object,technical
waste_knowledge_domain,waste,knowledge_domain,knowledge
waste_product,waste,product,commercial
waste_work_object,waste,work_object,technical
wastewater_work_object,wastewater,work_object,technical
watch_work_object,watch,work_object,technical
watche_knowledge_domain,watche,knowledge_domain,knowledge
watche_product,watche,product,commercial
water_knowledge_domain,water,knowledge_domain,knowledge
water_product,water,product,commercial
water_work_object,water,work_object,technical
water_based_work_object,water based,work_object,technical
water_network_work_object,water network,work_object,
waterway_industry,waterway,industry,
wave_work_object,wave,work_object,technical
wearing_task,wearing,task,
weaving_task,weaving,task,
web_work_object,web,work_object,technical
web_content_work_object,web content,work_object,
wedding_task,wedding,task,
weight_work_object,weight,work_object,technical
weight_loss_knowledge_domain,weight loss,knowledge_domain,knowledge
welding,welding,task,
welfare,welfare,industry,
wholesale,wholesale,channel,
wicker_furniture_work_object,wicker furniture,work_object,
wig_work_object,wig,work_object,
wind_knowledge_domain,wind,knowledge_domain,knowledge
winding_task,winding,task,
window_work_object,window,work_object,technical
wine_work_object,wine,work_object,
wire_work_object,wire,work_object,technical
wire_harness_work_object,wire harness,work_object,technical
wood_knowledge_domain,wood,knowledge_domain,knowledge
wood_product,wood,product,commercial
wood_work_object,wood,work_object,technical
wood_pallet_work_object,wood pallet,work_object,
wood_product_work_object,wood product,work_object,technical
wooden_furniture_work_object,wooden furniture,work_object,technical
work,work,task,
workshop_venue,workshop,venue,
writing,writing,task,
yard,yard,venue,
young_industry,young,industry,
youth,youth,population,
zoo,zoo,venue,
zoology_knowledge_domain,zoology,knowledge_domain,
