role_head,alias,note
capitalist,kapitalist,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
caulker,calafatuitor,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
caulker,tihendaja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
colonel,kolonel,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
coppersmith,aramar,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
coppersmith,vasesepp,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
dean,dekaan,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
distiller,destilleerija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
dyer,värvija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
enumerator,recenzor,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
enumerator,loendaja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
extra,figurant,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
extra,statiszta,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
extra,taustanäitleja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
fermenter,kääritaja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
goldsmith,kullassepp,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
groom,tallimees,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
gunsmith,relvasepp,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
hand,muncitor manual,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
handyperson,om bun la toate,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
handyperson,meistrimees,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
jockey,žoki,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
locksmith,lakatosember,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
locksmith,lukksepp,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
logger,exploatator forestier,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
missionary,misjonär,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
motorhand,operator de echipamente de foraj,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
negotiator,läbirääkija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
neutraliser,neutraliseerija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
orthotist,ortetikus,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
orthotist,ortoosimeister,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
packer,pakkija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
paperhanger,tapetar,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
paperhanger,tapeetija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
papermaker,paberitootja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
pedagogue,pedagoog,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
pelletiser,pelletiseerija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
pizzaiolo,pitsameister,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
psychic,selgeltnägija,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
scholar,teadlane,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
sergeant,seersant,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
shepherd,karjus,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
shipwright,laevaehitaja,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
signalperson,semnalist,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
signalperson,signaalimees,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
silversmith,hõbespp,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
soldier,sõdur,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
spokesperson,kõneisik,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
stagehand,lavatehnik,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
steeplejack,alpinist utilitar,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
stonemason,kiviraidur,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
switchperson,macagiu,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
taster,degustaator,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
warden,vahimees,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
medium,meedium,Auto promotion 2026-08-30: locale exact role-head equivalent promoted after duplicate/conflict filtering.
administrator,admin,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
imagesetter,image setter,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
boatswain,bosun,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
boatswain,bo'sun,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
caller,telecaller,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
deckhand,deckman,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
beveller,beveler,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
neutraliser,neutralizer,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
pelletiser,pelletizer,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
pizzaiolo,pizzamaker,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
signalperson,signaller,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
spokesperson,spokesman,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
spokesperson,spokeswoman,Auto promotion 2026-08-30: safe exact role-head variant promoted after duplicate/conflict filtering.
dispatcher,disponent,Vocabulary gap 2026-09-03: Romanian (German-loanword) alias to canonical dispatcher.
worker,magaziner,Vocabulary gap 2026-09-03: Romanian alias (storekeeper) to canonical worker so warehouse worker stays reachable.
finisher,betonist,Vocabulary gap 2026-09-03: Romanian alias (concreter) to canonical finisher so concrete finisher stays reachable.
technician,frigotehnist,Vocabulary gap 2026-09-03: Romanian alias (refrigeration technician) to canonical technician.
setter,pregatitor,Vocabulary gap 2026-09-03: Romanian alias (tool preparer/setter) to canonical setter.
grinder,rectificator,Vocabulary gap 2026-09-03: Romanian alias (grinding machine operator) to canonical grinder.
coppersmith,tinichigiu,Vocabulary gap 2026-09-03: Romanian alias (tinsmith) to canonical coppersmith
